Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Three-dimensional testicular organoid: a novel tool for the study of human spermatogenesis and gonadotoxicity in vitro†.","/pubmed/28339648","Pendergraft SS, Sadri-Ardekani H, Atala A, Bishop CE.","Biol Reprod. 2017 Feb 17. doi: 10.1095/biolreprod.116.143446. [Epub ahead of print]","Biol Reprod.  2017","PubMed","citation","PMID:28339648","pubmed","28339648","create date:2017/03/25 | first author:Pendergraft SS",
"New approaches for characterization of the genetic stability of vaccine cell lines.","/pubmed/28333573","Ng S, Gisonni-Lex L, Azizi A.","Hum Vaccin Immunother. 2017 Feb 23:1-4. doi: 10.1080/21645515.2017.1295191. [Epub ahead of print]","Hum Vaccin Immunother.  2017","PubMed","citation","PMID:28333573","pubmed","28333573","create date:2017/03/24 | first author:Ng S",
"Molecular techniques for the personalised management of patients with chronic myeloid leukaemia.","/pubmed/28331814","Alikian M, Gale RP, Apperley JF, Foroni L.","Biomol Detect Quantif. 2017 Feb 14;11:4-20. doi: 10.1016/j.bdq.2017.01.001. eCollection 2017 Feb 14. Review.","Biomol Detect Quantif.  2017","PubMed","citation","PMID:28331814 | PMCID:PMC5348117","pubmed","28331814","create date:2017/03/24 | first author:Alikian M",
"DGE-seq analysis of MUR3-related Arabidopsis mutants provides insight into how dysfunctional xyloglucan affects cell elongation.","/pubmed/28330559","Xu Z, Wang M, Shi D, Zhou G, Niu T, Hahn MG, O'Neill MA, Kong Y.","Plant Sci. 2017 May;258:156-169. doi: 10.1016/j.plantsci.2017.01.005. Epub 2017 Jan 30.","Plant Sci.  2017","PubMed","citation","PMID:28330559","pubmed","28330559","create date:2017/03/24 | first author:Xu Z",
"Tumor burden monitoring using cell-free tumor DNA could be limited by tumor heterogeneity in advanced breast cancer and should be evaluated together with radiographic imaging.","/pubmed/28330468","García-Saenz JA, Ayllón P, Laig M, Acosta-Eyzaguirre D, García-Esquinas M, Montes M, Sanz J, Barquín M, Moreno F, Garcia-Barberan V, Díaz-Rubio E, Caldes T, Romero A.","BMC Cancer. 2017 Mar 22;17(1):210. doi: 10.1186/s12885-017-3185-9.","BMC Cancer.  2017","PubMed","citation","PMID:28330468","pubmed","28330468","create date:2017/03/24 | first author:García-Saenz JA",
"Calibration-free assays on standard real-time PCR devices.","/pubmed/28327545","Debski PR, Gewartowski K, Bajer S, Garstecki P.","Sci Rep. 2017 Mar 22;7:44854. doi: 10.1038/srep44854.","Sci Rep.  2017","PubMed","citation","PMID:28327545 | PMCID:PMC5361099","pubmed","28327545","create date:2017/03/23 | first author:Debski PR",
"Simple quantitative PCR analysis for allelic Pten loss in tumor progression.","/pubmed/28322802","Wu X, Zhu A, Pang X, Xie G, Gu X.","Anal Biochem. 2017 Mar 17. pii: S0003-2697(17)30132-X. doi: 10.1016/j.ab.2017.03.016. [Epub ahead of print]","Anal Biochem.  2017","PubMed","citation","PMID:28322802","pubmed","28322802","create date:2017/03/23 | first author:Wu X",
"Prevalence and pathogen load estimates for the fungus Batrachochytrium dendrobatidis are impacted by ITS DNA copy number variation.","/pubmed/28322208","Rebollar EA, Woodhams DC, LaBumbard B, Kielgast J, Harris RN.","Dis Aquat Organ. 2017 Mar 21;123(3):213-226. doi: 10.3354/dao03097.","Dis Aquat Organ.  2017","PubMed","citation","PMID:28322208","pubmed","28322208","create date:2017/03/23 | first author:Rebollar EA",
"A digital PCR method for identifying and quantifying adulteration of meat species in raw and processed food.","/pubmed/28319152","Ren J, Deng T, Huang W, Chen Y, Ge Y.","PLoS One. 2017 Mar 20;12(3):e0173567. doi: 10.1371/journal.pone.0173567.","PLoS One.  2017","PubMed","citation","PMID:28319152","pubmed","28319152","create date:2017/03/21 | first author:Ren J",
"Multiplexed Single Intact Cell Droplet Digital PCR (MuSIC ddPCR) Method for Specific Detection of Enterohemorrhagic E. coli (EHEC) in Food Enrichment Cultures.","/pubmed/28303131","McMahon TC, Blais BW, Wong A, Carrillo CD.","Front Microbiol. 2017 Mar 2;8:332. doi: 10.3389/fmicb.2017.00332.","Front Microbiol.  2017","PubMed","citation","PMID:28303131 | PMCID:PMC5332415","pubmed","28303131","create date:2017/03/18 | first author:McMahon TC",
